,logFC,AveExpr,P.Value,adj.P.val
ENSG00000169429.11,9.365648805,11.67172163,4.17E-14,1.98E-10
ENSG00000277632.2,10.33269488,7.895200746,3.02E-14,1.98E-10
ENSG00000120217.14,7.22429268,6.996655981,3.52E-14,1.98E-10
ENSG00000158470.5,4.052604125,6.684267817,1.39E-13,3.35E-10
ENSG00000109320.13,4.271607383,10.58690055,1.83E-13,3.35E-10
ENSG00000232810.4,9.775032792,7.890276154,1.84E-13,3.35E-10
ENSG00000081041.9,11.22321516,8.111288576,1.54E-13,3.35E-10
ENSG00000102096.9,4.512341275,5.686883714,2.09E-13,3.35E-10
ENSG00000137193.14,6.44877867,6.603597718,2.11E-13,3.35E-10
ENSG00000145779.8,4.382979059,9.624484246,3.25E-13,4.22E-10
ENSG00000106701.12,7.460544757,5.968304512,2.84E-13,4.06E-10
ENSG00000072401.15,2.746694975,6.476005568,3.86E-13,4.59E-10
ENSG00000275302.2,9.661902745,10.56253324,5.87E-13,6.45E-10
ENSG00000163874.11,4.411360559,7.314120007,7.86E-13,8.02E-10
ENSG00000087074.8,4.651676243,9.491240664,9.38E-13,8.94E-10
ENSG00000147119.4,4.764001057,4.233352135,1.09E-12,9.76E-10
ENSG00000242247.11,3.410417355,7.712217897,1.39E-12,1.04E-09
ENSG00000064787.13,5.398564304,4.119241183,1.18E-12,9.91E-10
ENSG00000168389.18,6.384799325,6.494022575,1.31E-12,1.04E-09
ENSG00000125538.12,10.98095987,10.88143851,1.77E-12,1.20E-09
ENSG00000182782.8,4.730050044,6.090777557,1.72E-12,1.20E-09
ENSG00000127666.9,3.823830097,6.6759862,1.84E-12,1.20E-09
ENSG00000152484.14,3.083245085,7.285071883,1.96E-12,1.22E-09
ENSG00000135604.10,3.36972177,7.24598854,2.05E-12,1.22E-09
ENSG00000010818.10,4.916779656,6.622764231,2.70E-12,1.48E-09
ENSG00000196449.4,4.367816785,5.787888412,2.62E-12,1.48E-09
ENSG00000115520.8,2.593093172,6.362527537,2.99E-12,1.53E-09
ENSG00000198909.8,-3.681155347,5.149889815,3.02E-12,1.53E-09
ENSG00000173812.11,2.467589612,9.927144546,3.57E-12,1.59E-09
ENSG00000135678.12,5.227403459,6.408473673,3.72E-12,1.59E-09
ENSG00000183696.14,3.731926333,6.857015511,3.84E-12,1.59E-09
ENSG00000154640.15,3.696228575,5.752646103,3.77E-12,1.59E-09
ENSG00000100906.11,4.378817153,10.95517851,3.87E-12,1.59E-09
ENSG00000163739.5,9.949381285,8.758630539,3.90E-12,1.59E-09
ENSG00000145569.6,-5.69646327,4.524949074,3.11E-12,1.53E-09
ENSG00000157557.13,4.692319684,8.092463598,4.60E-12,1.77E-09
ENSG00000149269.10,-4.189847567,5.808841513,4.46E-12,1.77E-09
ENSG00000150637.9,5.778925756,6.273902386,4.79E-12,1.77E-09
ENSG00000188994.13,-3.513191905,4.564297236,4.82E-12,1.77E-09
ENSG00000143514.17,3.764439017,7.449935429,5.91E-12,2.06E-09
ENSG00000147443.13,-4.997318101,5.742010725,5.88E-12,2.06E-09
ENSG00000196396.10,2.444021321,6.925450111,6.65E-12,2.21E-09
ENSG00000277443.3,3.876131868,9.017007224,7.06E-12,2.24E-09
ENSG00000141298.19,-3.664088638,5.401479772,7.67E-12,2.38E-09
ENSG00000078804.13,3.614474772,5.625934263,8.06E-12,2.39E-09
ENSG00000163734.4,8.919611067,7.710418672,7.84E-12,2.38E-09
ENSG00000133059.17,-3.610580073,3.843355558,6.82E-12,2.22E-09
ENSG00000123610.5,7.812533008,7.630600274,8.49E-12,2.39E-09
ENSG00000136048.14,5.127212879,7.507728647,8.75E-12,2.39E-09
ENSG00000197063.11,2.573919264,7.113556347,9.05E-12,2.39E-09
ENSG00000122591.12,3.87073846,6.876204701,9.13E-12,2.39E-09
ENSG00000134070.5,5.512401182,8.963671431,9.35E-12,2.39E-09
ENSG00000056558.11,5.156713187,9.32140588,9.52E-12,2.39E-09
ENSG00000128272.14,2.432335536,7.678679082,9.65E-12,2.39E-09
