"seqnames","start","end","width","strand","gene_id","gene_type","gene_name","full_name","ENTREZID","logFC","AveExpr","P.Value","adj.P.val"
"chr4",73740541,73743716,3176,"+","ENSG00000169429.11","protein_coding","CXCL8","C-X-C motif chemokine ligand 8","3576",9.36564880542215,11.6717216255402,4.16501871555153e-14,1.98352074630282e-10
"chr17",36088256,36090169,1914,"-","ENSG00000277632.2","protein_coding","CCL3","C-C motif chemokine ligand 3","6348",10.3326948804828,7.89520074649033,3.02086393921122e-14,1.98352074630282e-10
"chr9",5450503,5470566,20064,"+","ENSG00000120217.14","protein_coding","CD274","CD274 molecule","29126",7.22429267962102,6.99665598119929,3.52216117875988e-14,1.98352074630282e-10
"chr20",49632945,49713878,80934,"-","ENSG00000158470.5","protein_coding","B4GALT5","beta-1,4-galactosyltransferase 5","9334",4.05260412507878,6.68426781735409,1.39134895097721e-13,3.34909772902269e-10
"chr4",102501331,102617302,115972,"+","ENSG00000109320.13","protein_coding","NFKB1","nuclear factor kappa B subunit 1","4790",4.27160738307612,10.5869005523006,1.82508281216661e-13,3.34909772902269e-10
"chr6",31575565,31578336,2772,"+","ENSG00000232810.4","protein_coding","TNF","tumor necrosis factor","7124",9.77503279151089,7.89027615387791,1.84076101520927e-13,3.34909772902269e-10
"chr4",74097040,74099196,2157,"-","ENSG00000081041.9","protein_coding","CXCL2","C-X-C motif chemokine ligand 2","2920",11.2232151577425,8.11128857596932,1.53614749697253e-13,3.34909772902269e-10
"chrX",48913182,48919024,5843,"-","ENSG00000102096.9","protein_coding","PIM2","Pim-2 proto-oncogene, serine/threonine kinase","11040",4.51234127508361,5.68688371419873,2.09104710960132e-13,3.34909772902269e-10
"chr6",37170152,37175428,5277,"+","ENSG00000137193.14","protein_coding","PIM1","Pim-1 proto-oncogene, serine/threonine kinase","5292",6.44877866965898,6.60359771848717,2.10974169253197e-13,3.34909772902269e-10
"chr5",119268692,119399688,130997,"+","ENSG00000145779.8","protein_coding","TNFAIP8","TNF alpha induced protein 8","25816",4.38297905886183,9.62448424608955,3.24640598070304e-13,4.21649111330039e-10
"chr9",105447796,105552433,104638,"+","ENSG00000106701.12","protein_coding","FSD1L","fibronectin type III and SPRY domain containing 1 like","83856",7.46054475711553,5.96830451200438,2.83896436945448e-13,4.05602839463962e-10
"chr10",58334979,58370751,35773,"+","ENSG00000072401.15","protein_coding","UBE2D1","ubiquitin conjugating enzyme E2 D1","7321",2.7466949751798,6.47600556773764,3.85634284788172e-13,4.59129752230718e-10
"chr17",36103827,36105621,1795,"+","ENSG00000275302.2","protein_coding","CCL4","C-C motif chemokine ligand 4","6351",9.6619027445579,10.5625332367128,5.8727050763309e-13,6.45410287888766e-10
"chr1",37474580,37484377,9798,"+","ENSG00000163874.11","protein_coding","ZC3H12A","zinc finger CCCH-type containing 12A","80149",4.41136055902074,7.31412000732862,7.85858753015237e-13,8.01968857452049e-10
"chr19",48872421,48876058,3638,"+","ENSG00000087074.8","protein_coding","PPP1R15A","protein phosphatase 1 regulatory subunit 15A","23645",4.65167624326805,9.49124066355031,9.38472811449955e-13,8.93864070479033e-10
"chrX",46573765,46598496,24732,"+","ENSG00000147119.4","protein_coding","CHST7","carbohydrate sulfotransferase 7","56548",4.76400105673413,4.23335213493256,1.09287814189374e-12,9.75871875827244e-10
"chr22",42796502,42858106,61605,"-","ENSG00000242247.11","protein_coding","ARFGAP3","ADP ribosylation factor GTPase activating protein 3","26286",3.41041735529274,7.71221789748969,1.38811470362941e-12,1.0437891984607e-09
"chr20",53936777,54070594,133818,"-","ENSG00000064787.13","protein_coding","BCAS1","brain enriched myelin associated protein 1","8537",5.3985643036146,4.1192411828487,1.17920909006333e-12,9.91021192337342e-10
"chr1",39955112,39969968,14857,"+","ENSG00000168389.18","protein_coding","MFSD2A","major facilitator superfamily domain containing 2A","84879",6.38479932518756,6.49402257526926,1.30603439000604e-12,1.03662851833424e-09
"chr2",112829751,112836816,7066,"-","ENSG00000125538.12","protein_coding","IL1B","interleukin 1 beta","3553",10.9809598690835,10.8814385088263,1.76755484440266e-12,1.19648733980041e-09
"chr12",122701293,122703357,2065,"-","ENSG00000182782.8","protein_coding","HCAR2","hydroxycarboxylic acid receptor 2","338442",4.73005004411475,6.09077755746215,1.71736676247034e-12,1.19648733980041e-09
"chr19",4815932,4831704,15773,"-","ENSG00000127666.9","protein_coding","TICAM1","TIR domain containing adaptor molecule 1","148022",3.82383009667963,6.67598620013311,1.84242468507097e-12,1.19648733980041e-09
"chr13",27066156,27171811,105656,"-","ENSG00000152484.14","protein_coding","USP12","ubiquitin specific peptidase 12","219333",3.08324508522927,7.28507188266395,1.95760186899321e-12,1.21601121314374e-09
"chr6",144150517,144191939,41423,"+","ENSG00000135604.10","protein_coding","STX11","syntaxin 11","8676",3.36972177028617,7.24598853952921,2.0525943289046e-12,1.22189229904417e-09
"chr6",142751469,142956698,205230,"-","ENSG00000010818.10","protein_coding","HIVEP2","HIVEP zinc finger 2","3097",4.91677965570971,6.62276423098904,2.70032896253789e-12,1.48383076491457e-09
"chr1",37802945,37808208,5264,"-","ENSG00000196449.4","protein_coding","YRDC","yrdC N6-threonylcarbamoyltransferase domain containing","79693",4.3678167850002,5.78788841232348,2.61523164552097e-12,1.48383076491457e-09
"chr2",197453423,197475308,21886,"+","ENSG00000115520.8","protein_coding","COQ10B","coenzyme Q10B","80219",2.59309317240423,6.36252753687705,2.99437356763997e-12,1.53373259085711e-09
"chr17",63622415,63696305,73891,"+","ENSG00000198909.8","protein_coding","MAP3K3","mitogen-activated protein kinase kinase kinase 3","4215",-3.68115534722987,5.14988981546421,3.02407709653935e-12,1.53373259085711e-09
"chr17",41688885,41692668,3784,"+","ENSG00000173812.11","protein_coding","EIF1","eukaryotic translation initiation factor 1","10209",2.4675896120228,9.92714454606957,3.56985816873651e-12,1.59130930399758e-09
"chr12",68842197,68971570,129374,"-","ENSG00000135678.12","protein_coding","CPM","carboxypeptidase M","1368",5.2274034585991,6.40847367340576,3.71647176463761e-12,1.59130930399758e-09
"chr7",48088628,48108736,20109,"+","ENSG00000183696.14","protein_coding","UPP1","uridine phosphorylase 1","7378",3.73192633288839,6.85701551114738,3.83899554247102e-12,1.59130930399758e-09
"chr21",17593653,17612945,19293,"-","ENSG00000154640.15","protein_coding","BTG3","BTG anti-proliferation factor 3","10950",3.69622857482456,5.75264610284017,3.77403476536908e-12,1.59130930399758e-09
"chr14",35401513,35404749,3237,"-","ENSG00000100906.11","protein_coding","NFKBIA","NFKB inhibitor alpha","4792",4.37881715277729,10.9551785148151,3.87499820807035e-12,1.59130930399758e-09
"chr4",73869393,73871308,1916,"+","ENSG00000163739.5","protein_coding","CXCL1","C-X-C motif chemokine ligand 1","2919",9.94938128519885,8.7586305387386,3.89835694266924e-12,1.59130930399758e-09
"chr5",14581792,14616180,34389,"+","ENSG00000145569.6","protein_coding","OTULINL","OTU deubiquitinase with linear linkage specificity like","54491",-5.69646326957532,4.52494907441885,3.11319697171247e-12,1.53373259085711e-09
"chr21",38805183,38824955,19773,"+","ENSG00000157557.13","protein_coding","ETS2","ETS proto-oncogene 2, transcription factor","2114",4.69231968392346,8.09246359773166,4.59963565152698e-12,1.76737327217118e-09
"chr11",77322017,77474635,152619,"-","ENSG00000149269.10","protein_coding","PAK1","p21 (RAC1) activated kinase 1","5058",-4.18984756708408,5.80884151266443,4.46255504136173e-12,1.76737327217118e-09
"chr18",69831158,69961803,130646,"-","ENSG00000150637.9","protein_coding","CD226","CD226 molecule","10666",5.77892575567933,6.27390238592053,4.78730805114648e-12,1.76737327217118e-09
"chr6",87152833,87265943,113111,"+","ENSG00000188994.13","protein_coding","ZNF292","zinc finger protein 292","23036",-3.51319190487264,4.56429723638639,4.82449482849275e-12,1.76737327217118e-09
"chr1",223779893,223845954,66062,"-","ENSG00000143514.17","protein_coding","TP53BP2","tumor protein p53 binding protein 2","7159",3.76443901695799,7.44993542891851,5.90729514716077e-12,2.05847623823136e-09
"chr8",21908873,21913690,4818,"-","ENSG00000147443.13","protein_coding","DOK2","docking protein 2","9046",-4.99731810059323,5.74201072465681,5.87878482880607e-12,2.05847623823136e-09
"chr20",50510321,50585241,74921,"+","ENSG00000196396.10","protein_coding","PTPN1","protein tyrosine phosphatase non-receptor type 1","5770",2.444021321161,6.92545011083969,6.64727318909425e-12,2.20859516401371e-09
"chr6",113857345,113863475,6131,"+","ENSG00000277443.3","protein_coding","MARCKS","myristoylated alanine rich protein kinase C substrate","4082",3.87613186826688,9.01700722352468,7.05931409999039e-12,2.24125378992362e-09
"chr17",29625938,29930276,304339,"-","ENSG00000141298.19","protein_coding","SSH2","slingshot protein phosphatase 2","85464",-3.66408863781885,5.4014797719602,7.67339165553934e-12,2.38325536049327e-09
"chr20",34704339,34713439,9101,"+","ENSG00000078804.13","protein_coding","TP53INP2","tumor protein p53 inducible nuclear protein 2","58476",3.61447477158709,5.62593426269342,8.05625246916325e-12,2.38867701404995e-09
"chr4",74036589,74038807,2219,"-","ENSG00000163734.4","protein_coding","CXCL3","C-X-C motif chemokine ligand 3","2921",8.91961106717158,7.7104186716824,7.84029098341416e-12,2.38328164425613e-09
"chr1",205142505,205211702,69198,"-","ENSG00000133059.17","protein_coding","DSTYK","dual serine/threonine and tyrosine protein kinase","25778",-3.61058007251373,3.84335555840342,6.82493882101496e-12,2.21608865763274e-09
"chr2",151357592,151380046,22455,"+","ENSG00000123610.5","protein_coding","TNFAIP6","TNF alpha induced protein 6","7130",7.81253300829141,7.63060027389464,8.48927486560808e-12,2.38867701404995e-09
"chr12",101877580,102012130,134551,"+","ENSG00000136048.14","protein_coding","DRAM1","DNA damage regulated autophagy modulator 1","55332",5.12721287872149,7.50772864749086,8.75487973496895e-12,2.38867701404995e-09
"chr17",81918270,81927735,9466,"-","ENSG00000197063.11","protein_coding","MAFG","MAF bZIP transcription factor G","4097",2.57391926417761,7.11355634739529,9.04553980060054e-12,2.38867701404995e-09
"chr7",22889371,23014130,124760,"-","ENSG00000122591.12","protein_coding","FAM126A","hyccin PI4KA lipid kinase complex subunit 1","84668",3.87073846024788,6.87620470105939,9.13042641135271e-12,2.38867701404995e-09
"chr3",10164919,10243745,78827,"+","ENSG00000134070.5","protein_coding","IRAK2","interleukin 1 receptor associated kinase 2","3656",5.51240118198848,8.96367143088808,9.35023049921447e-12,2.38867701404995e-09
