"GeneID","BaseMean","log2_FC","StdErr","WaldStats","p_value","adj_pval","chrom","start","end","strand","flag","gene_name"
"ENSG00000081041.9",43651.1623793288,11.5986195488848,0.267524891310277,43.3552911360036,0,0,"chr4",74097039,74099196,"-",NA,"CXCL2"
"ENSG00000120217.14",4336.34836815124,7.64539685557422,0.186952093075115,40.8949519088956,0,0,"chr9",5450502,5470566,"+",NA,"CD274"
"ENSG00000125538.12",216708.254681654,11.6816308774126,0.237570960684094,49.1711227827465,0,0,"chr2",112829750,112836816,"-",NA,"IL1B"
"ENSG00000146457.16",7410.63213625264,4.28099125250043,0.113627627478539,37.6756194553917,0,0,"chr6",159725584,159756319,"+",NA,"WTAP"
"ENSG00000163739.5",36386.1672809483,10.6962054604776,0.215805482041432,49.5641044856499,0,0,"chr4",73869392,73871308,"+",NA,"CXCL1"
"ENSG00000169429.11",261561.275443174,9.80097248390877,0.209106084151119,46.870814513583,0,0,"chr4",73740540,73743716,"+",NA,"CXCL8"
"ENSG00000170542.6",13243.2858620661,6.34673851062897,0.123255039307655,51.4927304090746,0,0,"chr6",2887269,2903309,"-",NA,"SERPINB9"
"ENSG00000277443.3",6389.14156870461,4.28135264467945,0.0990433099137381,43.2270755935792,0,0,"chr6",113857344,113863475,"+",NA,"MARCKS"
"ENSG00000123689.6",5246.41868428348,9.81943045989165,0.262550860349455,37.4001077232121,3.89164140383775e-306,7.78976887668191e-303,"chr1",209675411,209676390,"+",NA,"G0S2"
"ENSG00000163735.7",4901.21142868246,7.95981515831253,0.224456303875044,35.4626491699863,1.85167853926557e-275,3.33579888848693e-272,"chr4",73995641,73998677,"-",NA,"CXCL5"
"ENSG00000261371.6",2514.46737865436,-3.62918622552074,0.103711467899665,-34.9931044176501,2.86442938949387e-268,4.69115413197565e-265,"chr17",64319414,64413776,"-",NA,"PECAM1"
"ENSG00000168389.18",1975.45292843206,6.68687302872142,0.191790730882695,34.8654650719868,2.48233161894757e-266,3.72660034294504e-263,"chr1",39955111,39969968,"+",NA,"MFSD2A"
"ENSG00000137193.14",3011.55479234011,6.70225035334528,0.193839167120462,34.5763472517407,5.72935993884355e-262,7.93957071525127e-259,"chr6",37170151,37175428,"+",NA,"PIM1"
"ENSG00000163734.4",10163.3438529958,9.37312872451556,0.271662665362429,34.5028225060324,7.27655895612315e-261,9.36337211389704e-258,"chr4",74036588,74038807,"-",NA,"CXCL3"
"ENSG00000196449.4",1122.47250499658,4.30758062837801,0.126328182555747,34.0983345222837,7.80755608565992e-255,9.37687485887756e-252,"chr1",37802944,37808208,"-",NA,"YRDC"
"ENSG00000130340.16",3606.56152607956,4.75855155837819,0.143880898038587,33.0728513878333,7.30279101972648e-240,8.22248626377328e-237,"chr6",157700386,157945077,"+",NA,"SNX9"
"ENSG00000115008.6",28874.7664238485,12.735161584789,0.38571156787885,33.0173182381429,4.58342538032391e-239,4.85708283685502e-236,"chr2",112773924,112784493,"-",NA,"IL1A"
"ENSG00000198355.5",2598.3706308386,4.02390923702564,0.122343825225929,32.8901702198277,3.03779224610598e-237,3.04032373964441e-234,"chr22",49960767,49964072,"+",NA,"PIM3"
"ENSG00000134070.5",8445.26311979298,5.67657775524383,0.178275606309687,31.841584346559,1.72132688759515e-222,1.63208967789614e-219,"chr3",10164918,10243745,"+",NA,"IRAK2"
"ENSG00000056558.11",9929.89740112348,5.3096115301873,0.167679355896285,31.6652667336787,4.67465429006079e-220,4.21069485177226e-217,"chr9",120902392,120929173,"-",NA,"TRAF1"
"ENSG00000197632.9",107006.982641143,9.45603018982526,0.299069891776354,31.6181282363807,2.08048073090238e-219,1.78475525558126e-216,"chr18",63871691,63903888,"+",NA,"SERPINB2"
"ENSG00000162924.15",1674.32410214513,3.144283597522,0.0996568807144958,31.5510938630517,1.7321902438221e-218,1.41842760192978e-215,"chr2",60881520,60931612,"+",NA,"REL"
"ENSG00000110047.18",8466.38718557303,5.70939657004517,0.183238199701103,31.15833150161,3.9114705557002e-213,3.06370182873648e-210,"chr11",64851641,64888296,"-",NA,"EHD1"
"ENSG00000158470.5",1367.78519625868,4.09699840337947,0.133204512401212,30.7572043133143,9.79547803419702e-208,7.35273069941914e-205,"chr20",49632944,49713878,"-",NA,"B4GALT5"
"ENSG00000183696.14",1268.80916228838,3.6035386725621,0.11720960566375,30.7443972032454,1.45292716415145e-207,1.04697931448753e-204,"chr7",48088627,48108736,"+",NA,"UPP1"
"ENSG00000162433.15",1426.16935308566,5.77638030677795,0.187954505327833,30.7328642998087,2.07188810207659e-207,1.4355793907273e-204,"chr1",65147548,65232145,"+",NA,"AK4"
"ENSG00000256235.2",894.226910247192,5.03301029681163,0.165799387568464,30.3560246549966,2.0921740245959e-202,1.39594500196649e-199,"chr5",150777945,150796734,"+",NA,"SMIM3"
"ENSG00000073756.12",16823.4576085727,10.165563615515,0.336074677250939,30.247930902347,5.55463447478646e-201,3.57381214511707e-198,"chr1",186671790,186680423,"-",NA,"PTGS2"
"ENSG00000102445.18",888.806802238453,4.58827449204231,0.152029577754024,30.1801436261694,4.31636449799239e-200,2.68135539418389e-197,"chr13",46341999,46438190,"-",NA,"RUBCNL"
"ENSG00000050730.16",5409.86769980744,11.2016787689853,0.373442969879301,29.9956878893872,1.11701951954414e-197,6.70770221486254e-195,"chr4",121131407,121227466,"-",NA,"TNIP3"
"ENSG00000242247.11",2296.71445703437,3.53829430427382,0.118315477130821,29.9055913062121,1.66450984873237e-196,9.67294997577859e-194,"chr22",42796501,42858106,"-",NA,"ARFGAP3"
"ENSG00000066294.15",2015.97132600344,-7.05502051585789,0.236050251505405,-29.8877907177165,2.83574153531819e-196,1.59643386746116e-193,"chr1",160541094,160579516,"-",NA,"CD84"
"ENSG00000168209.5",2116.07079454755,6.09583232320651,0.204184705230675,29.8545002002958,7.6740257128234e-196,4.18932040050041e-193,"chr10",72273923,72276036,"+",NA,"DDIT4"
"ENSG00000168685.15",2791.37408417903,8.49251977722062,0.285446121225232,29.7517434840867,1.64638540912954e-194,8.72342151337315e-192,"chr5",35852694,35879603,"+",NA,"IL7R"
"ENSG00000166920.12",7461.1288137203,4.29326152487136,0.144389711629251,29.7338465215248,2.80523771980218e-194,1.44389592920675e-191,"chr15",45430528,45448761,"+",NA,"C15orf48"
"ENSG00000145779.8",11289.6506175947,4.44169063652918,0.150440330344267,29.5246003938229,1.39177437919452e-191,6.96467095588593e-189,"chr5",119268691,119399688,"+",NA,"TNFAIP8"
"ENSG00000026751.17",21056.5455961789,7.05322540556891,0.240086880771087,29.377804330316,1.05517097635239e-189,5.13754192945631e-187,"chr1",160739056,160754821,"+",NA,"SLAMF7"
"ENSG00000117009.12",7767.65291360094,5.3890157026206,0.184181172817536,29.2593190725275,3.41769732252362e-188,1.62025834908587e-185,"chr1",241532133,241595642,"+",NA,"KMO"
"ENSG00000114353.17",2832.52025780186,-2.77425282147595,0.0954551348350594,-29.0634215358837,1.0413879390556e-185,4.81041121079143e-183,"chr3",50226291,50259362,"+",NA,"GNAI2"
"ENSG00000106701.12",3606.74096015168,7.54964301297909,0.260337518857366,28.9994429005656,6.68685974277072e-185,3.01159445665036e-182,"chr9",105447795,105552433,"+",NA,"FSD1L"
"ENSG00000087074.8",10085.2917851917,4.76655832704092,0.164912521251275,28.9035562058879,1.07717503319799e-183,4.73300200562483e-181,"chr19",48872420,48876058,"+",NA,"PPP1R15A"
"ENSG00000102096.9",1134.34295881905,4.91647774283279,0.170404377728384,28.8518276840834,4.80630812828439e-183,2.06156287931055e-180,"chrX",48913181,48919024,"-",NA,"PIM2"
"ENSG00000115919.15",17548.1193568648,3.66349801945395,0.128227084680364,28.5703915719997,1.5678585751491e-179,6.56859819332813e-177,"chr2",142877656,143055833,"+",NA,"KYNU"
"ENSG00000122591.12",1672.49658242183,3.61339729852529,0.126684062280066,28.5229036193756,6.09209504005231e-179,2.49429754878505e-176,"chr7",22889370,23014130,"-",NA,"FAM126A"
"ENSG00000117525.14",9198.84834690989,11.9207805024449,0.419151478407491,28.4402682956917,6.42943245651989e-178,2.57391612676013e-175,"chr1",94529172,94541759,"-",NA,"F3"
"ENSG00000104783.14",1937.24982449506,2.84406464675289,0.100180585228579,28.389379441772,2.73487440962108e-177,1.07106005411573e-174,"chr19",43766532,43781257,"-",NA,"KCNN4"
"ENSG00000148926.10",925.616803945541,4.65770361905074,0.164289445706488,28.3505954933464,8.22969822741576e-177,3.15442582057223e-174,"chr11",10305072,10307397,"+",NA,"ADM"
